Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
qt_teleport_to_trader_rekt_helipad,items,Quest - Treasure Map,,,Teleport to Trader Rekt (helipad),,,,,,,,,,,,,

qt_teleport_to_trader_rekt_desc,items,Quest - Treasure Map,,,Read this to teleport to Trader Rekt.,,,,,,,,,,,,,

qt_teleport_to_trader_jen_navezgane_24,items,Quest - Treasure Map,,,Teleport to Trader Jen (front door),,,,,,,,,,,,,

qt_teleport_to_trader_jen_helipad,items,Quest - Treasure Map,,,Teleport to Trader Jen (helipad),,,,,,,,,,,,,

qt_teleport_to_trader_jen_desc,items,Quest - Treasure Map,,,Read this to teleport to Trader Jen.,,,,,,,,,,,,,

qt_teleport_to_trader_bob_navezgane_24,items,Quest - Treasure Map,,,Teleport to Trader Bob (front door),,,,,,,,,,,,,

qt_teleport_to_trader_bob_helipad,items,Quest - Treasure Map,,,Teleport to Trader Bob (helipad),,,,,,,,,,,,,

qt_teleport_to_trader_bob_desc,items,Quest - Treasure Map,,,Read this to teleport to Trader Bob.,,,,,,,,,,,,,

qt_teleport_to_trader_hugh_navezgane_24,items,Quest - Treasure Map,,,Teleport to Trader Hugh (front door),,,,,,,,,,,,,

qt_teleport_to_trader_hugh_helipad,items,Quest - Treasure Map,,,Teleport to Trader Hugh (helipad)),,,,,,,,,,,,,

qt_teleport_to_trader_hugh_desc,items,Quest - Treasure Map,,,Read this to teleport to Trader Hugh.,,,,,,,,,,,,,

qt_teleport_to_trader_joel_navezgane_24,items,Quest - Treasure Map,,,Teleport to Trader Joel (front door),,,,,,,,,,,,,

qt_teleport_to_trader_joel_helipad,items,Quest - Treasure Map,,,Teleport to Trader Joel (helipad),,,,,,,,,,,,,

qt_teleport_to_trader_joel_desc,items,Quest - Treasure Map,,,Read this to teleport to Trader Joel.,,,,,,,,,,,,,
